"S","PropError","TransRateError","propRareSample","DOS","TotalTransitions","InputGeometricProb","InitialState","minSampleSize","SampleSize","Simulation","DurationError","TrueDuration","TruePropRare","TaskNumber"
4,0.0742029115257346,0.000168679355210759,0.554924242424242,0.264480119554388,567,0.219087159261107,6,17.7508038585209,525,4,14005.6948863225,34.0593241741766,0.374966035685173,8
4,0.00168248951037971,0.000142065405897891,0.255681818181818,0.906564169912146,261,0.877276615705341,3,54.3891625615763,525,5,686.050098745186,31.8289257044722,0.50348700298886,3
8,0.300060100599179,4.8077413983235e-05,0.626865671641791,0.662756996648854,233,0.123571389354765,6,50.8801843317972,525,1,57652.1938512223,53.09008268291,0.740965492256136,8
8,0.138343116918593,2.57004298639825e-05,0.51865671641791,0.542930893940766,288,0.0110041811130941,4,36.6810631229236,525,2,21596.6576411846,40.9623106060606,0.605289375962322,8
8,0.608772989359652,3.9633501603834e-05,0.555970149253731,0.532050991757993,279,0.103831926360726,6,47.7965367965368,525,3,24762.2570236741,39.7987537092879,0.617969386830903,8
8,0.0146775340710654,4.98825458826284e-05,0.546641791044776,0.264480119554388,567,0.219087159261107,6,17.7508038585209,525,4,7509.18741155776,34.0593241741766,0.374966035685173,8
8,0.00043459011927632,1.75382985803178e-05,0.662313432835821,0.906564169912146,261,0.877276615705341,3,54.3891625615763,525,5,2262.62839351053,31.8289257044722,0.50348700298886,3
16,0.0693102817941726,2.96232226849028e-05,0.6875,0.662756996648854,233,0.123571389354765,6,50.8801843317972,525,1,48853.9031697945,53.09008268291,0.740965492256136,8
16,0.00627489427461862,3.68656005829547e-05,0.457720588235294,0.542930893940766,288,0.0110041811130941,4,36.6810631229236,525,2,25604.1193836088,40.9623106060606,0.605289375962322,8
16,0.0180573135018073,2.44807467080449e-05,0.715073529411765,0.532050991757993,279,0.103831926360726,6,47.7965367965368,525,3,17752.304029935,39.7987537092879,0.617969386830903,8
16,0.0643129851880682,0.000118010327328178,0.426470588235294,0.264480119554388,567,0.219087159261107,6,17.7508038585209,525,4,15074.0784389664,34.0593241741766,0.374966035685173,8
16,0.000650335511960354,2.04355835476351e-05,0.172794117647059,0.906564169912146,261,0.877276615705341,3,54.3891625615763,525,5,3181.49206655807,31.8289257044722,0.50348700298886,3
32,0.240646988865659,3.33220102392309e-05,0.751838235294118,0.662756996648854,233,0.123571389354765,6,50.8801843317972,525,1,64561.6956497137,53.09008268291,0.740965492256136,8
32,0.213292424373137,5.63936271965722e-05,0.764705882352941,0.542930893940766,288,0.0110041811130941,4,36.6810631229236,525,2,31352.7979442149,40.9623106060606,0.605289375962322,8
32,0.0105673731705303,0.000111790936405259,0.454044117647059,0.532050991757993,279,0.103831926360726,6,47.7965367965368,525,3,22660.4168311401,39.7987537092879,0.617969386830903,8
32,0.0834147408268288,0.000189195405038591,0.612132352941177,0.264480119554388,567,0.219087159261107,6,17.7508038585209,525,4,17332.1782519709,34.0593241741766,0.374966035685173,8
32,0.00222316546789496,6.48741126617071e-06,0.444852941176471,0.906564169912146,261,0.877276615705341,3,54.3891625615763,525,5,4207.56499215157,31.8289257044722,0.50348700298886,3
64,0.0872866021779546,2.89223766027424e-05,0.626736111111111,0.662756996648854,233,0.123571389354765,6,50.8801843317972,525,1,62888.7663472531,53.09008268291,0.740965492256136,8
64,0.00436183657003247,0.215969502326426,0.555555555555556,0.542930893940766,288,0.0110041811130941,4,36.6810631229236,525,2,34125.1354309292,40.9623106060606,0.605289375962322,8
64,0.180641268054425,4.06387649091739e-05,0.276041666666667,0.532050991757993,279,0.103831926360726,6,47.7965367965368,525,3,25424.711729381,39.7987537092879,0.617969386830903,8
64,0.00754221159253129,0.000175750851583536,0.298611111111111,0.264480119554388,567,0.219087159261107,6,17.7508038585209,525,4,19673.4675771322,34.0593241741766,0.374966035685173,8
64,0.00115284592516432,2.41488273357494e-05,0.486111111111111,0.906564169912146,261,0.877276615705341,3,54.3891625615763,525,5,4946.58360689469,31.8289257044722,0.50348700298886,3
