"S","PropError","TransRateError","propRareSample","DOS","TotalTransitions","minSampleSize","SampleSize","AverageDurationError","TruePropRare","AverageDuration","Ant","TaskNumber"
2,0.0498607463925588,6.92887621180902e-05,0.570342205323194,0.556278869667603,266,408.925925925926,525,10460.0499224929,0.637623403677203,46.833896440778,8,8
2,0.160623644100248,0.000183988439141822,0.498098859315589,0.500158500135857,497,581.105263157895,525,13541.6502962545,0.488633275971379,32.4706419782873,9,9
4,0.080808758393757,5.45021517880427e-05,0,0.44780816954986,345,552.05,525,7730.35807079604,0.555475047550041,38.2951084989572,1,8
4,0.0745050410000456,8.5715559495381e-05,0.744318181818182,0.496694140023549,436,69.00625,525,3012.55727548225,0.567611629381397,40.56269367177,2,7
4,0.0618318422467655,0.000228779912982352,0.253787878787879,0.579227425052079,423,56.9123711340206,525,8795.62587693555,0.548863327597138,36.4858087501349,3,7
4,0.472189439672905,0.000321083924354714,0.494318181818182,0.446200525314736,554,160.014492753623,525,16027.0768084476,0.453944389095191,25.888764490278,4,8
4,0.281648903259919,1.99768504023167e-05,0.962121212121212,0.654707454034961,112,2208.2,525,134272.139711508,0.799927542795037,88.9685570909255,5,8
4,0.0100385093689705,3.72969602266563e-06,0.496212121212121,0.823419527216738,201,334.575757575758,525,4897.7589747344,0.651209129607825,31.3558501631184,6,6
4,0.546666746735263,0.00025557142485656,0.744318181818182,0.665123177248438,417,1380.125,525,15404.6353545016,0.390816049270899,24.0353798961542,7,6
4,0.0676489861207955,0.000107981942952391,0.412878787878788,0.556278869667603,266,408.925925925926,525,27637.8526918044,0.637623403677203,46.833896440778,8,8
4,0.0560480610383262,7.67267011952146e-05,0.365530303030303,0.500158500135857,497,581.105263157895,525,17057.498035599,0.488633275971379,32.4706419782873,9,9
8,0.0290784332814052,5.07373097354883e-05,0,0.44780816954986,345,552.05,525,11957.1763991589,0.555475047550041,38.2951084989572,1,8
8,0.106631192868951,8.2359552640845e-05,0.492537313432836,0.496694140023549,436,69.00625,525,11026.4380225222,0.567611629381397,40.56269367177,2,7
8,0.0330997803550957,0.00016547631603995,0.638059701492537,0.579227425052079,423,56.9123711340206,525,11491.7928839522,0.548863327597138,36.4858087501349,3,7
8,0.0455778769123593,5.20007862103143e-05,0,0.446200525314736,554,160.014492753623,525,6499.64514398326,0.453944389095191,25.888764490278,4,8
8,0.0554688323799035,0.000122030087864279,0.246268656716418,0.654707454034961,112,2208.2,525,167680.651145133,0.799927542795037,88.9685570909255,5,8
8,0.0127343288365524,1.94854932723747e-05,0.585820895522388,0.823419527216738,201,334.575757575758,525,6710.97372911606,0.651209129607825,31.3558501631184,6,6
8,0.013486319739292,3.65183401766219e-05,0,0.665123177248438,417,1380.125,525,1717.22133580541,0.390816049270899,24.0353798961542,7,6
8,0.0349534818607779,6.09119861700684e-05,0.246268656716418,0.556278869667603,266,408.925925925926,525,16536.7180531427,0.637623403677203,46.833896440778,8,8
8,0.0274914353009787,0.00010051706744719,0.369402985074627,0.500158500135857,497,581.105263157895,525,13353.2612352977,0.488633275971379,32.4706419782873,9,9
16,0.0253719169349533,5.54181890592277e-05,0.242647058823529,0.44780816954986,345,552.05,525,15350.9818482094,0.555475047550041,38.2951084989572,1,8
16,0.0393178772783594,0.000193454089644545,0,0.496694140023549,436,69.00625,525,13828.834068883,0.567611629381397,40.56269367177,2,7
16,0.0137692120101615,0.00012308037565197,0,0.579227425052079,423,56.9123711340206,525,18061.0785512293,0.548863327597138,36.4858087501349,3,7
16,0.298361189875421,0.000126473160403872,0,0.446200525314736,554,160.014492753623,525,5213.82245166721,0.453944389095191,25.888764490278,4,8
16,0.0219039491235809,2.29554823722196e-05,0.303308823529412,0.654707454034961,112,2208.2,525,171739.260115573,0.799927542795037,88.9685570909255,5,8
16,0.00363592553049283,2.11056726996018e-05,0.334558823529412,0.823419527216738,201,334.575757575758,525,10446.5554829786,0.651209129607825,31.3558501631184,6,6
16,0.0402649721423604,9.35352059592142e-05,0,0.665123177248438,417,1380.125,525,1397.40047647771,0.390816049270899,24.0353798961542,7,6
16,0.0196871896509421,6.97617330314414e-05,0,0.556278869667603,266,408.925925925926,525,28535.992185007,0.637623403677203,46.833896440778,8,8
16,0.0145272111083064,6.66550900017407e-05,0,0.500158500135857,497,581.105263157895,525,12487.153388594,0.488633275971379,32.4706419782873,9,9
32,0.0390751705614522,7.06956578029882e-05,0,0.44780816954986,345,552.05,525,20497.3075891615,0.555475047550041,38.2951084989572,1,8
32,0.0476742021698742,4.74668281181603e-05,0,0.496694140023549,436,69.00625,525,19098.2182517977,0.567611629381397,40.56269367177,2,7
32,0.0998140877978569,7.49078045113363e-05,0.231617647058824,0.579227425052079,423,56.9123711340206,525,20626.7901791032,0.548863327597138,36.4858087501349,3,7
32,0.0297323785181329,2.62561539319055e-05,0.264705882352941,0.446200525314736,554,160.014492753623,525,6292.01423748547,0.453944389095191,25.888764490278,4,8
32,0.0199228706679318,3.26843944585895e-05,0,0.654707454034961,112,2208.2,525,190440.25495051,0.799927542795037,88.9685570909255,5,8
32,0.0119519529163453,2.93543844692778e-05,0.852941176470588,0.823419527216738,201,334.575757575758,525,13255.1177106184,0.651209129607825,31.3558501631184,6,6
32,0.0242664021096984,3.11236338247029e-05,0,0.665123177248438,417,1380.125,525,3557.58138178317,0.390816049270899,24.0353798961542,7,6
32,0.0147622437102515,6.14958409805022e-05,0,0.556278869667603,266,408.925925925926,525,31335.1134345452,0.637623403677203,46.833896440778,8,8
32,0.0058065736269241,7.26428328475298e-05,0,0.500158500135857,497,581.105263157895,525,17265.6249084987,0.488633275971379,32.4706419782873,9,9
