"","Colony","AntID","Date","Analyst","numUniqueTasks","degreeOfSpecialization","propResting","propBrood","propExploring","propAllogrooming","propAntennatingNestmate","propTrashMaintenance","propNestMaintenance","propSelfMaintenance","propFoodProcessing","numberOfTaskSwitches","numberOfAntennations","interboutInterval","boutLengthBC","boutLengthR","boutLengthFP","boutLengthTM","boutLengthAN","boutLengthNM","boutLengthSM","boutLengthE","boutLengthA","velocity","movementAreaForaging","movementAreaNest","colonySize","totalMass","sinuosityTrailNest","sinuosityTrailForaging","session","exploringLengthForaging","exploringLengthNest","probStop","probReturn","bcDistance","eDistance","fpDistance","rDistance","tmDistance","anDistance","nmDistance","smDistance","aDistance","bcSpeed","eSpeed","fpSpeed","rSpeed","tmSpeed","anSpeed","nmSpeed","smSpeed","aSpeed","bcTime","eTime","fpTime","rTime","tmTime","anTime","nmTime","smTime","aTime","bcjoulesPerMG","ejoulesPerMG","fpjoulesPerMG","rjoulesPerMG","tmjoulesPerMG","anjoulesPerMG","nmjoulesPerMG","smjoulesPerMG","ajoulesPerMG"
"45","17-25","GWP","04_09_2022","Nate_Maslanka",6,0.627061469265367,0.628185907046477,0,0.0989505247376312,0,0.0464767616191904,0,0.151424287856072,0.00599700149925037,0.0689655172413793,39,14,5.1412037037037,0,139.666666666667,11.5,0,2.21428571428571,33.6666666666667,1.33333333333333,5.5,0,10.5841765453573,113049.431428289,131055.474864732,44,0.2541,0.349854869925975,0.38950700095331,1,87.7149308833672,2840.52431268318,0.130952380952381,0.361904761904762,NA,0.227049205950848,0.152530761751306,0.0568498269367218,NA,0.0641007932124676,0.157801364547629,0.00399575535825349,NA,NA,0.00344013948410376,0.0033158861250284,0.000135679777891938,NA,0.00206776752298283,0.00156238974799632,0.000998938839563372,NA,0,66,46,419,0,31,101,4,0,0,3.60889352849018,3.59175070671642,3.15298823768982,0,3.41955194358753,3.34982665656523,3.27208921289843,0
"46","17-1","PPP","06_11_2021","Colleen_Furey",4,0.748315868263473,0.529940119760479,0,0.142215568862275,0,0.00149700598802395,0,0,0.326347305389222,0,17,1,11.1875,0,50.5714285714286,0,0,1,0,43.6,23.75,0,3.26132303853576,NA,38785.5,12,0.1012,0.243073058831181,NA,1,NA,1221.54663155133,0.683333333333333,0.15,NA,0.123802657746045,0,0.0689165770790686,NA,0,NA,0.0481271145307244,NA,NA,0.001303185871011,NA,0.000194679596268555,NA,0,NA,0.000220766580416167,NA,0,95,0,354,0,1,0,218,0,0,3.31406516167048,NA,3.16112824596519,0,3.134268951,0,3.16472738021142,0
"47","17-5","BBB","02_07_2021","Colleen_Furey",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,608,0,0,0,0,0,0,0,14.3518242274009,197271.5,NA,20,0.3124,NA,0.111206710139276,1,NA,NA,NA,NA,NA,NA,NA,0.989757465927854,NA,NA,NA,NA,NA,NA,NA,NA,0.00162789056896029,NA,NA,NA,NA,NA,0,0,0,608,0,0,0,0,0,0,0,0,3.35886358649755,0,0,0,0,0
"48","17-10","BBB","24_03_2022","Divya_Murala",5,0.719594594594595,0.0720720720720721,0,0.750750750750751,0,0.021021021021021,0.0960960960960961,0,0.0600600600600601,0,30,4,7.0625,0,24,0,12.8,3.5,0,5.71428571428571,41.6666666666667,0,42.3446896880575,337986.53783123,103617.288694815,56,0.2808,0.115016898978477,0.149336160852489,1,22789.5062320044,2877.70482011061,0.0714285714285714,0.323809523809524,NA,2.76913016908788,0,0.0233785249171384,0.12314953141774,0.0434048624339974,NA,0.13122635643626,NA,NA,0.00553826033817577,NA,0.000487052602440383,0.00192421142840219,0.0031003473167141,NA,0.0032806589109065,NA,0,500,0,48,64,14,0,40,0,0,3.89836426899032,NA,3.20146597505002,3.39974598773856,3.56201353579599,0,3.58689052540807,0
"49","17-12","GBB","04_22_2022","Divya_Murala",4,0.823590096286107,0.843191196698762,0.0398899587345254,0.110041265474553,0,0,0,0,0.00687757909215956,0,9,0,4.25,29,153.25,0,0,0,0,5,26.6666666666667,0,4.38486917283783,100074.806256946,NA,55,0.199,NA,0.387671244834293,1,1395.98381620198,NA,0.888888888888889,0,0.0123918911021325,0.160454097740228,0,0.167629226425834,NA,NA,NA,0.0084774739602084,NA,0.000427306589728708,0.00200567622175284,NA,0.000273457139356988,NA,NA,NA,0.00169549479204168,NA,29,80,0,613,0,0,0,5,0,3.19322301682957,3.41098541372783,NA,3.17199692099329,0,0,0,3.36819071580868,0
"50","17-22","BBB","04_09_2022","Divya_Murala",6,0.582833583208396,0.151424287856072,0.0314842578710645,0.281859070464768,0,0.00599700149925037,0,0,0.251874062968516,0.27736131934033,18,1,6.75,10.5,101,30.8333333333333,0,4,0,56,37.6,0,15.690708317152,208690.03536122,79610.5420458943,66,0.3205,0.433003539826042,0.418182111961146,1,4477.590583213,663.839805906166,0.0333333333333333,0.28,0.0276424583870832,0.600394250053421,0.266083130865519,0.00487408757810001,NA,0.0168653231837675,NA,0.128747382474797,NA,0.00131630754224206,0.00319358643645437,0.00143828719386767,4.82582928524753e-05,NA,0.00421633079594188,NA,0.000766353467111885,NA,21,188,185,101,0,4,0,168,0,3.31587551491133,3.57487742634949,3.33270464084728,3.14092698680388,0,3.71598205648011,0,3.24000018434587,0
"51","17-8","YYP","21_01_2022","Divya_Murala",6,0.603260869565217,0.266866566716642,0,0.239880059970015,0,0.0239880059970015,0,0.00749625187406297,0.0989505247376312,0.362818590704648,29,4,14.8680555555556,0,89,80.6666666666667,0,4,5,11,12.3076923076923,0,18.8152666976496,203137.70779246,134414,53,0.3221,0.384029466783544,0.313140607938033,1,2948.88390502644,2276.97636669267,0.0333333333333333,0.255128205128205,NA,0.581760375181163,0.357775096306274,0.263284909845833,NA,0.0355074262473633,0.01210303520158,0.107768631662118,NA,NA,0.00363600234488227,0.0014784094888689,0.00147912870699906,NA,0.0022192141404602,0.00242060704031601,0.00163285805548663,NA,0,160,242,178,0,16,5,66,0,0,3.63591607451559,3.33824018014761,3.33833940827564,0,3.44044652857883,3.46823203566227,3.35954893405531,0
"52","17-11","BBB","03_24_2022","Gailan_khanania",8,0.538980509745127,0.169415292353823,0.176911544227886,0.190404797601199,0.0119940029985007,0.00749625187406297,0.0149925037481259,0,0.0419790104947526,0.386806596701649,52,3,7.90755208333333,59,16.1428571428571,32.25,5,1.66666666666667,0,3.11111111111111,6.35,8,8.6996433565606,290165.737511253,NA,48,0.2707,NA,0.520345874634111,1,3614.38035328964,NA,0.184920634920635,0.208333333333333,0.0342761631320244,0.298457238519635,0.103668377029864,0.0513911717544501,0.0250145485288655,0.000355056757360291,NA,0.0365909486298772,0.00202469664971606,0.000290475958745969,0.0023500569962176,0.000401815414844435,0.000454789130570355,0.00250145485288655,7.10113514720582e-05,NA,0.00130681959392419,0.000253087081214507,118,127,258,113,10,5,0,28,8,3.17434495077499,3.45849848124482,3.18970608440137,3.19701469138102,3.47938633886992,3.14406615045809,0,3.31456649430841,3.16918653197156
"53","17-13","YYY","04_22_2022","Gailan_Khanania",5,0.630247376311844,0.158920539730135,0.389805097451274,0.344827586206897,0.0104947526236882,0,0,0,0.095952023988006,0,27,0,7.40277777777778,52,53,0,0,0,0,10.6666666666667,20.9090909090909,2.33333333333333,11.1118784281635,2834.66599299829,112202.172808695,24,0.1294,0.557663205437695,0.171928981867509,1,392.460810474964,5538.95537364568,0.05,0.459090909090909,0.0645831303505632,0.642097614666011,0,0.00395473575824886,NA,NA,NA,0.0599160819830041,0.0171114077738512,0.000248396655194474,0.00279172875941744,NA,3.73088279080081e-05,NA,NA,NA,0.000936188780984439,0.00244448682483589,260,230,0,106,0,0,0,64,7,3.16853940952833,3.51943446217429,NA,3.13941632562371,0,0,0,3.26343179648315,3.47152664993319
"54","17-17","RRR","09_03_2022","Gailan_Khanania",5,0.829596412556054,0.0134529147982063,0,0.77727952167414,0.0209267563527653,0.182361733931241,0,0,0,0.00597907324364723,49,15,12.3189484126984,0,9,2,0,8.13333333333333,0,0,22.6086956521739,1.75,70.7922370491095,262202,234298,8,0.056,0.157679172321732,0.152600610542769,1,33948.0677247117,11115.608491552,0.0166666666666667,0.444474637681159,NA,4.23471931510423,0.03140247657184,0.0206008770501119,NA,0.530946241642461,NA,NA,0.0402784108001531,NA,0.00814369099058506,0.00785061914296,0.00228898633890132,NA,0.00435201837411853,NA,NA,0.00287702934286808,0,520,4,9,0,122,0,0,14,0,4.25782685133439,4.21739270542372,3.45007276622375,0,3.73470241934922,0,0,3.5312030993377
